Sale ID,Date,Customer,City,Category,Product,Unit Price (EGP),Qty,Total (EGP),Rep
EG-IT-1000,2023-05-10,Fawry,Cairo,Consulting,Digital Transformation Strategy,213098,1,213098,Mohamed Ali
EG-IT-1001,2023-10-08,CIB Bank,Tanta,Cybersecurity,Penetration Testing License,56502,10,565020,Mohamed Ali
EG-IT-1002,2023-10-05,Banque Misr,Cairo,Cloud Services,Local Data Center Hosting,36445,10,364450,Sarah Hassan
EG-IT-1003,2023-12-25,QNB Alahli,Suez,Hardware,Server Rack v2,47388,18,852984,Sarah Hassan
EG-IT-1004,2024-01-01,Banque Misr,Alexandria,Cybersecurity,Firewall License,8964,8,71712,Yasmine Mahmoud
EG-IT-1005,2023-11-17,Telecom Egypt,Alexandria,Software,CRM Subscription,1405,39,54795,Khaled Ibrahim
EG-IT-1006,2023-09-09,Banque Misr,Alexandria,Cloud Services,Local Data Center Hosting,25456,5,127280,Ahmed Mansour
EG-IT-1007,2023-05-16,Raya Holding,Suez,Cybersecurity,Firewall License,29870,6,179220,Khaled Ibrahim
EG-IT-1008,2023-07-15,CIB Bank,Giza,Software,ERP License (Arabic),2977,81,241137,Ahmed Mansour
EG-IT-1009,2023-01-13,Telecom Egypt,Hurghada,Software,Project Mgmt Tool,11893,14,166502,Khaled Ibrahim
EG-IT-1010,2023-05-16,Telecom Egypt,Suez,Cybersecurity,Endpoint Protection,46480,1,46480,Mohamed Ali
EG-IT-1011,2023-05-03,Raya Holding,Suez,Consulting,IT Security Audit,55056,1,55056,Yasmine Mahmoud
EG-IT-1012,2023-05-06,Juhayna,Port Said,Cybersecurity,Endpoint Protection,46341,5,231705,Mariam Zaki
EG-IT-1013,2023-05-10,EgyptAir,Port Said,Consulting,IT Security Audit,158479,1,158479,Sarah Hassan
EG-IT-1014,2023-05-09,Orascom Development,Port Said,Hardware,Networking Switch,49653,18,893754,Ahmed Mansour
EG-IT-1015,2023-11-08,EgyptAir,Tanta,Hardware,Laptop Pro X1,132303,18,2381454,Ahmed Mansour
